NDB_No,Nutrient_Code,Nutrient_name,Derivation_Code,Output_value,Output_uom
45005035,291,"Fiber, total dietary",LCCD,0.0,g
45005035,301,"Calcium, Ca",LCCD,0.0,mg
45005035,303,"Iron, Fe",LCCD,0.0,mg
45005035,307,"Sodium, Na",LCCS,714.0,mg
45005035,318,"Vitamin A, IU",LCCD,0.0,IU
45005035,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005035,601,Cholesterol,LCSL,36.0,mg
45005035,605,"Fatty acids, total trans",LCCS,0.0,g
45005035,606,"Fatty acids, total saturated",LCCS,3.57,g
45005035,645,"Fatty acids, total monounsaturated",LCCS,7.14,g
45005035,646,"Fatty acids, total polyunsaturated",LCCS,14.29,g
45005036,203,Protein,LCCS,0.0,g
45005036,204,Total lipid (fat),LCCS,84.62,g
45005036,205,"Carbohydrate, by difference",LCCD,0.0,g
45005036,208,Energy,LCCS,769.0,kcal
45005036,269,"Sugars, total",LCCS,0.0,g
45005036,291,"Fiber, total dietary",LCCD,0.0,g
45005036,301,"Calcium, Ca",LCCD,0.0,mg
45005036,303,"Iron, Fe",LCCD,0.0,mg
45005036,307,"Sodium, Na",LCCS,577.0,mg
45005036,318,"Vitamin A, IU",LCCD,0.0,IU
45005036,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005036,601,Cholesterol,LCCS,77.0,mg
45005036,605,"Fatty acids, total trans",LCCS,0.0,g
45005036,606,"Fatty acids, total saturated",LCCS,11.54,g
45005036,645,"Fatty acids, total monounsaturated",LCCS,19.23,g
45005036,646,"Fatty acids, total polyunsaturated",LCCS,46.15,g
45005037,203,Protein,LCCS,0.0,g
45005037,204,Total lipid (fat),LCCS,25.0,g
45005037,205,"Carbohydrate, by difference",LCCS,7.14,g
45005037,208,Energy,LCCS,250.0,kcal
45005037,269,"Sugars, total",LCCS,0.0,g
45005037,291,"Fiber, total dietary",LCCD,0.0,g
45005037,301,"Calcium, Ca",LCCD,0.0,mg
45005037,303,"Iron, Fe",LCCD,0.0,mg
45005037,307,"Sodium, Na",LCCS,929.0,mg
45005037,318,"Vitamin A, IU",LCCD,0.0,IU
45005037,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005037,601,Cholesterol,LCSL,36.0,mg
45005037,605,"Fatty acids, total trans",LCCS,0.0,g
45005037,606,"Fatty acids, total saturated",LCCS,3.57,g
45005038,203,Protein,LCCS,0.0,g
45005038,204,Total lipid (fat),LCCS,84.62,g
45005038,205,"Carbohydrate, by difference",LCCD,0.0,g
45005038,208,Energy,LCCS,769.0,kcal
45005038,269,"Sugars, total",LCCS,0.0,g
45005038,291,"Fiber, total dietary",LCCD,0.0,g
45005038,301,"Calcium, Ca",LCCD,0.0,mg
45005038,303,"Iron, Fe",LCCD,0.0,mg
45005038,307,"Sodium, Na",LCCS,577.0,mg
45005038,318,"Vitamin A, IU",LCCD,0.0,IU
45005038,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005038,601,Cholesterol,LCCS,77.0,mg
45005038,605,"Fatty acids, total trans",LCCS,0.0,g
45005038,606,"Fatty acids, total saturated",LCCS,11.54,g
45005038,645,"Fatty acids, total monounsaturated",LCCS,19.23,g
45005038,646,"Fatty acids, total polyunsaturated",LCCS,46.15,g
45005042,203,Protein,LCCS,6.67,g
45005042,204,Total lipid (fat),LCCD,0.0,g
45005042,205,"Carbohydrate, by difference",LCCS,86.67,g
45005042,208,Energy,LCCS,367.0,kcal
45005042,269,"Sugars, total",LCCS,6.67,g
45005042,291,"Fiber, total dietary",LCCS,3.3,g
45005042,301,"Calcium, Ca",LCCD,0.0,mg
45005042,303,"Iron, Fe",LCCD,27.0,mg
45005042,306,"Potassium, K",LCCS,83.0,mg
45005042,307,"Sodium, Na",LCCS,667.0,mg
45005042,309,"Zinc, Zn",LCCD,12.5,mg
45005042,318,"Vitamin A, IU",LCCD,1667.0,IU
45005042,324,Vitamin D,LCCD,133.0,IU
45005042,401,"Vitamin C, total ascorbic acid",LCCD,20.0,mg
45005042,404,Thiamin,LCCD,1.0,mg
45005042,405,Riboflavin,LCCD,1.417,mg
45005042,406,Niacin,LCCD,16.667,mg
45005042,415,Vitamin B-6,LCCD,1.667,mg
45005042,418,Vitamin B-12,LCCD,5.0,mcg
45005042,601,Cholesterol,LCCD,0.0,mg
45005042,605,"Fatty acids, total trans",LCCS,0.0,g
45005042,606,"Fatty acids, total saturated",LCCD,0.0,g
45005043,203,Protein,LCCS,5.26,g
45005043,204,Total lipid (fat),LCCS,7.89,g
45005043,205,"Carbohydrate, by difference",LCCS,73.68,g
45005043,208,Energy,LCCS,395.0,kcal
45005043,269,"Sugars, total",LCCS,31.58,g
45005043,291,"Fiber, total dietary",LCSL,2.6,g
45005043,301,"Calcium, Ca",LCCD,0.0,mg
45005043,303,"Iron, Fe",LCCD,2.84,mg
45005043,307,"Sodium, Na",LCCS,684.0,mg
45005043,318,"Vitamin A, IU",LCCD,0.0,IU
45005043,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005043,601,Cholesterol,LCCD,0.0,mg
45005043,605,"Fatty acids, total trans",LCCS,0.0,g
45005043,606,"Fatty acids, total saturated",LCCS,3.95,g
45005044,203,Protein,LCCS,4.76,g
45005044,204,Total lipid (fat),LCCS,8.33,g
45005044,205,"Carbohydrate, by difference",LCCS,73.81,g
45005044,208,Energy,LCCS,405.0,kcal
45005044,269,"Sugars, total",LCCS,38.1,g
45005044,291,"Fiber, total dietary",LCSL,2.4,g
45005044,301,"Calcium, Ca",LCCD,238.0,mg
45005044,303,"Iron, Fe",LCCD,6.43,mg
45005044,307,"Sodium, Na",LCCS,548.0,mg
45005044,318,"Vitamin A, IU",LCCD,0.0,IU
45005044,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005044,601,Cholesterol,LCCD,0.0,mg
45005044,605,"Fatty acids, total trans",LCCS,0.0,g
45005044,606,"Fatty acids, total saturated",LCCS,3.57,g
45005049,203,Protein,LCCS,7.14,g
45005049,204,Total lipid (fat),LCCD,0.0,g
45005049,205,"Carbohydrate, by difference",LCCS,78.57,g
45005049,208,Energy,LCCS,357.0,kcal
45005049,269,"Sugars, total",LCCS,0.0,g
45005049,291,"Fiber, total dietary",LCCS,3.6,g
45005049,301,"Calcium, Ca",LCCD,357.0,mg
45005049,303,"Iron, Fe",LCCD,28.93,mg
45005049,307,"Sodium, Na",LCCS,1107.0,mg
45005049,318,"Vitamin A, IU",LCCD,0.0,IU
45005049,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005049,404,Thiamin,LCCD,1.0,mg
45005049,405,Riboflavin,LCCD,0.607,mg
45005049,406,Niacin,LCCD,7.143,mg
45005049,601,Cholesterol,LCCD,0.0,mg
45005049,605,"Fatty acids, total trans",LCCS,0.0,g
45005049,606,"Fatty acids, total saturated",LCCD,0.0,g
45005049,645,"Fatty acids, total monounsaturated",LCCS,0.0,g
45005049,646,"Fatty acids, total polyunsaturated",LCCS,0.0,g
45005050,203,Protein,LCCS,7.14,g
45005050,204,Total lipid (fat),LCCS,3.57,g
45005050,205,"Carbohydrate, by difference",LCCS,75.0,g
45005050,208,Energy,LCCS,357.0,kcal
45005050,269,"Sugars, total",LCCS,3.57,g
45005050,291,"Fiber, total dietary",LCCS,3.6,g
45005050,301,"Calcium, Ca",LCCD,357.0,mg
45005050,303,"Iron, Fe",LCCD,28.93,mg
45005050,307,"Sodium, Na",LCCS,1214.0,mg
45005050,318,"Vitamin A, IU",LCCD,0.0,IU
45005050,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005050,404,Thiamin,LCCD,1.0,mg
45005050,405,Riboflavin,LCCD,0.607,mg
45005050,406,Niacin,LCCD,7.143,mg
45005050,601,Cholesterol,LCCD,0.0,mg
45005050,605,"Fatty acids, total trans",LCCS,0.0,g
45005050,606,"Fatty acids, total saturated",LCCS,1.79,g
45005050,645,"Fatty acids, total monounsaturated",LCCS,1.79,g
45005050,646,"Fatty acids, total polyunsaturated",LCCS,0.0,g
45005056,203,Protein,LCSL,14.29,g
45005056,204,Total lipid (fat),LCCS,14.29,g
45005056,205,"Carbohydrate, by difference",LCCS,57.14,g
45005056,208,Energy,LCCS,429.0,kcal
45005056,269,"Sugars, total",LCSL,14.29,g
45005056,291,"Fiber, total dietary",LCCD,0.0,g
45005056,301,"Calcium, Ca",LCCD,0.0,mg
45005056,303,"Iron, Fe",LCCD,0.0,mg
45005056,307,"Sodium, Na",LCCS,1286.0,mg
45005056,318,"Vitamin A, IU",LCCD,0.0,IU
45005056,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005056,601,Cholesterol,LCCD,0.0,mg
45005056,605,"Fatty acids, total trans",LCCS,0.0,g
45005056,606,"Fatty acids, total saturated",LCCD,0.0,g
45005057,203,Protein,LCCS,14.29,g
45005057,204,Total lipid (fat),LCCS,14.29,g
45005057,205,"Carbohydrate, by difference",LCCS,71.43,g
45005057,208,Energy,LCCS,429.0,kcal
45005057,269,"Sugars, total",LCCS,0.0,g
45005057,291,"Fiber, total dietary",LCCD,0.0,g
45005057,301,"Calcium, Ca",LCCD,0.0,mg
45005057,303,"Iron, Fe",LCCD,0.0,mg
45005057,307,"Sodium, Na",LCCS,1214.0,mg
45005057,318,"Vitamin A, IU",LCCD,0.0,IU
45005057,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005057,601,Cholesterol,LCCD,0.0,mg
45005057,605,"Fatty acids, total trans",LCCS,0.0,g
45005057,606,"Fatty acids, total saturated",LCCD,0.0,g
45005081,203,Protein,LCCS,0.0,g
45005081,204,Total lipid (fat),LCCD,0.0,g
45005081,205,"Carbohydrate, by difference",LCCS,88.89,g
45005081,208,Energy,LCCS,222.0,kcal
45005081,269,"Sugars, total",LCCS,22.22,g
45005081,307,"Sodium, Na",LCCD,0.0,mg
45005081,605,"Fatty acids, total trans",LCCS,0.0,g
45005218,203,Protein,LCCS,4.23,g
45005218,204,Total lipid (fat),LCCS,9.86,g
45005218,205,"Carbohydrate, by difference",LCCS,32.39,g
45005218,208,Energy,LCCS,225.0,kcal
45005218,269,"Sugars, total",LCCS,23.94,g
45005218,291,"Fiber, total dietary",LCCD,0.0,g
45005218,301,"Calcium, Ca",LCCD,113.0,mg
45005218,303,"Iron, Fe",LCCD,0.0,mg
45005218,307,"Sodium, Na",LCCS,99.0,mg
45005218,318,"Vitamin A, IU",LCCD,423.0,IU
45005218,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005218,601,Cholesterol,LCCS,21.0,mg
45005218,605,"Fatty acids, total trans",LCCS,0.0,g
45005218,606,"Fatty acids, total saturated",LCCS,4.23,g
45005235,203,Protein,LCCS,12.9,g
45005235,204,Total lipid (fat),LCCS,9.68,g
45005235,205,"Carbohydrate, by difference",LCCS,9.68,g
45005235,208,Energy,LCCS,161.0,kcal
45005235,269,"Sugars, total",LCCS,6.45,g
45005235,291,"Fiber, total dietary",LCCD,0.0,g
45005235,301,"Calcium, Ca",LCCD,258.0,mg
45005235,303,"Iron, Fe",LCCD,0.0,mg
45005235,307,"Sodium, Na",LCCS,774.0,mg
45005235,318,"Vitamin A, IU",LCCD,968.0,IU
45005235,401,"Vitamin C, total ascorbic acid",LCCD,7.7,mg
45005235,601,Cholesterol,LCCS,32.0,mg
45005235,605,"Fatty acids, total trans",LCCS,0.0,g
45005235,606,"Fatty acids, total saturated",LCCS,3.23,g
45005239,203,Protein,LCCS,13.33,g
45005239,204,Total lipid (fat),LCCS,43.33,g
45005239,205,"Carbohydrate, by difference",LCCD,0.0,g
45005239,208,Energy,LCCS,433.0,kcal
45005239,269,"Sugars, total",LCCS,0.0,g
45005239,291,"Fiber, total dietary",LCCD,0.0,g
45005239,301,"Calcium, Ca",LCCD,333.0,mg
45005239,303,"Iron, Fe",LCCD,0.0,mg
45005239,307,"Sodium, Na",LCCS,567.0,mg
45005239,318,"Vitamin A, IU",LCCD,1000.0,IU
45005239,401,"Vitamin C, total ascorbic acid",LCCD,8.0,mg
45005239,601,Cholesterol,LCCS,67.0,mg
45005239,605,"Fatty acids, total trans",LCCS,0.0,g
45005239,606,"Fatty acids, total saturated",LCCS,16.67,g
45005240,203,Protein,LCCS,13.33,g
45005240,204,Total lipid (fat),LCCS,40.0,g
45005240,205,"Carbohydrate, by difference",LCCD,0.0,g
45005240,208,Energy,LCCS,433.0,kcal
45005240,269,"Sugars, total",LCCS,0.0,g
45005240,291,"Fiber, total dietary",LCCD,0.0,g
45005240,301,"Calcium, Ca",LCCD,333.0,mg
45005240,303,"Iron, Fe",LCCD,0.0,mg
45005240,307,"Sodium, Na",LCCS,567.0,mg
45005240,318,"Vitamin A, IU",LCCD,1000.0,IU
45005240,401,"Vitamin C, total ascorbic acid",LCCD,8.0,mg
45005240,601,Cholesterol,LCCS,67.0,mg
45005240,605,"Fatty acids, total trans",LCCS,0.0,g
45005240,606,"Fatty acids, total saturated",LCCS,16.67,g
45005251,203,Protein,LCCS,3.12,g
45005251,204,Total lipid (fat),LCCS,12.5,g
45005251,205,"Carbohydrate, by difference",LCCS,28.12,g
45005251,208,Energy,LCCS,234.0,kcal
45005251,269,"Sugars, total",LCSL,1.56,g
45005251,291,"Fiber, total dietary",LCCS,3.1,g
45005251,301,"Calcium, Ca",LCCD,0.0,mg
45005251,303,"Iron, Fe",LCCD,0.56,mg
45005251,306,"Potassium, K",LCCS,469.0,mg
45005251,307,"Sodium, Na",LCCS,422.0,mg
45005251,318,"Vitamin A, IU",LCCD,0.0,IU
45005251,401,"Vitamin C, total ascorbic acid",LCCD,7.5,mg
45005251,601,Cholesterol,LCCD,0.0,mg
45005251,605,"Fatty acids, total trans",LCCS,0.0,g
45005251,606,"Fatty acids, total saturated",LCCS,3.12,g
45005251,645,"Fatty acids, total monounsaturated",LCCS,6.25,g
45005251,646,"Fatty acids, total polyunsaturated",LCCS,3.12,g
45005253,203,Protein,LCCS,35.71,g
45005253,204,Total lipid (fat),LCCS,35.71,g
45005253,205,"Carbohydrate, by difference",LCCD,0.0,g
45005253,208,Energy,LCCS,500.0,kcal
45005253,269,"Sugars, total",LCCS,0.0,g
45005253,291,"Fiber, total dietary",LCCD,0.0,g
45005253,301,"Calcium, Ca",LCCD,0.0,mg
45005253,303,"Iron, Fe",LCCD,0.0,mg
45005253,307,"Sodium, Na",LCCS,2071.0,mg
45005253,318,"Vitamin A, IU",LCCD,0.0,IU
45005253,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005253,601,Cholesterol,LCCS,143.0,mg
45005253,605,"Fatty acids, total trans",LCCS,0.0,g
45005253,606,"Fatty acids, total saturated",LCCS,14.29,g
45005261,203,Protein,LCCS,25.0,g
45005261,204,Total lipid (fat),LCCS,41.67,g
45005261,205,"Carbohydrate, by difference",LCCD,0.0,g
45005261,208,Energy,LCCS,500.0,kcal
45005261,269,"Sugars, total",LCCS,0.0,g
45005261,291,"Fiber, total dietary",LCCD,0.0,g
45005261,301,"Calcium, Ca",LCCD,0.0,mg
45005261,303,"Iron, Fe",LCCD,3.0,mg
45005261,307,"Sodium, Na",LCCS,1833.0,mg
45005261,318,"Vitamin A, IU",LCCD,0.0,IU
45005261,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005261,601,Cholesterol,LCCS,125.0,mg
45005261,605,"Fatty acids, total trans",LCCS,0.0,g
45005261,606,"Fatty acids, total saturated",LCCS,16.67,g
45005281,203,Protein,LCCS,0.0,g
45005281,204,Total lipid (fat),LCCD,0.0,g
45005281,205,"Carbohydrate, by difference",LCCS,29.41,g
45005281,208,Energy,LCCS,59.0,kcal
45005281,269,"Sugars, total",LCCS,0.0,g
45005281,291,"Fiber, total dietary",LCCD,0.0,g
45005281,301,"Calcium, Ca",LCCD,0.0,mg
45005281,303,"Iron, Fe",LCCD,0.0,mg
45005281,306,"Potassium, K",LCCS,59.0,mg
45005281,307,"Sodium, Na",LCCD,0.0,mg
45005281,318,"Vitamin A, IU",LCCD,0.0,IU
45005281,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005281,601,Cholesterol,LCCD,0.0,mg
45005281,605,"Fatty acids, total trans",LCCS,0.0,g
45005281,606,"Fatty acids, total saturated",LCCD,0.0,g
45005281,645,"Fatty acids, total monounsaturated",LCCS,0.0,g
45005281,646,"Fatty acids, total polyunsaturated",LCCS,0.0,g
45005282,203,Protein,LCCD,0.0,g
45005282,204,Total lipid (fat),LCCD,0.0,g
45005282,205,"Carbohydrate, by difference",LCCS,80.95,g
45005282,208,Energy,LCCS,238.0,kcal
45005282,261,Sorbitol,LCCS,10.0,g
45005282,269,"Sugars, total",LCCS,0.0,g
45005282,306,"Potassium, K",LCCS,38.0,mg
45005282,307,"Sodium, Na",LCCD,0.0,mg
45005419,203,Protein,LCCS,1.64,g
45005419,204,Total lipid (fat),LCCS,2.46,g
45005419,205,"Carbohydrate, by difference",LCCS,8.2,g
45005419,208,Energy,LCCS,66.0,kcal
45005419,269,"Sugars, total",LCCS,4.92,g
45005419,291,"Fiber, total dietary",LCCS,1.6,g
45005419,301,"Calcium, Ca",LCCD,0.0,mg
45005419,303,"Iron, Fe",LCCD,0.59,mg
45005419,307,"Sodium, Na",LCCS,393.0,mg
45005419,318,"Vitamin A, IU",LCCD,820.0,IU
45005419,401,"Vitamin C, total ascorbic acid",LCCD,2.0,mg
45005419,601,Cholesterol,LCCD,0.0,mg
45005419,605,"Fatty acids, total trans",LCCS,0.0,g
45005419,606,"Fatty acids, total saturated",LCCD,0.0,g
45005464,203,Protein,LCCS,10.22,g
45005464,204,Total lipid (fat),LCCS,9.33,g
45005464,205,"Carbohydrate, by difference",LCCS,17.33,g
45005464,208,Energy,LCCS,200.0,kcal
45005464,269,"Sugars, total",LCCS,2.22,g
45005464,291,"Fiber, total dietary",LCCS,0.9,g
45005464,301,"Calcium, Ca",LCCD,178.0,mg
45005464,303,"Iron, Fe",LCCD,0.8,mg
45005464,307,"Sodium, Na",LCCS,360.0,mg
45005464,318,"Vitamin A, IU",LCCD,133.0,IU
45005464,401,"Vitamin C, total ascorbic acid",LCCD,0.5,mg
45005464,601,Cholesterol,LCCS,27.0,mg
45005464,605,"Fatty acids, total trans",LCCS,0.0,g
45005464,606,"Fatty acids, total saturated",LCCS,5.78,g
45005471,203,Protein,LCCS,2.47,g
45005471,204,Total lipid (fat),LCCS,3.53,g
45005471,205,"Carbohydrate, by difference",LCCS,21.2,g
45005471,208,Energy,LCCS,124.0,kcal
45005471,269,"Sugars, total",LCCS,1.77,g
45005471,291,"Fiber, total dietary",LCCS,1.1,g
45005471,301,"Calcium, Ca",LCCD,14.0,mg
45005471,303,"Iron, Fe",LCCD,0.51,mg
45005471,307,"Sodium, Na",LCCS,240.0,mg
45005471,318,"Vitamin A, IU",LCCD,353.0,IU
45005471,401,"Vitamin C, total ascorbic acid",LCCD,6.4,mg
45005471,601,Cholesterol,LCCD,0.0,mg
45005471,605,"Fatty acids, total trans",LCCS,0.0,g
45005471,606,"Fatty acids, total saturated",LCCS,0.35,g
45005495,203,Protein,LCCS,9.09,g
45005495,204,Total lipid (fat),LCCS,9.09,g
45005495,205,"Carbohydrate, by difference",LCCS,32.47,g
45005495,208,Energy,LCCS,253.0,kcal
45005495,269,"Sugars, total",LCCS,7.79,g
45005495,291,"Fiber, total dietary",LCCS,1.3,g
45005495,301,"Calcium, Ca",LCCD,162.0,mg
45005495,303,"Iron, Fe",LCCD,2.34,mg
45005495,306,"Potassium, K",LCCS,253.0,mg
45005495,307,"Sodium, Na",LCCS,597.0,mg
45005495,318,"Vitamin A, IU",LCCD,260.0,IU
45005495,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005495,601,Cholesterol,LCCS,16.0,mg
45005495,605,"Fatty acids, total trans",LCCS,0.0,g
45005495,606,"Fatty acids, total saturated",LCCS,5.19,g
45005536,203,Protein,LCCS,14.85,g
45005536,204,Total lipid (fat),LCCS,2.97,g
45005536,205,"Carbohydrate, by difference",LCCS,0.99,g
45005536,208,Energy,LCCS,89.0,kcal
45005536,301,"Calcium, Ca",LCCD,20.0,mg
45005536,303,"Iron, Fe",LCCD,0.36,mg
45005536,306,"Potassium, K",LCCS,356.0,mg
45005536,307,"Sodium, Na",LCCS,396.0,mg
45005536,317,"Selenium, Se",LCCD,28.0,mcg
45005536,601,Cholesterol,LCCS,50.0,mg
45005536,605,"Fatty acids, total trans",LCCS,0.0,g
45005536,606,"Fatty acids, total saturated",LCCS,0.5,g
45005536,645,"Fatty acids, total monounsaturated",LCCS,0.99,g
45005536,646,"Fatty acids, total polyunsaturated",LCCS,0.5,g
45005547,203,Protein,LCCS,0.0,g
45005547,204,Total lipid (fat),LCCS,78.57,g
45005547,205,"Carbohydrate, by difference",LCCD,0.0,g
45005547,208,Energy,LCCS,714.0,kcal
45005547,269,"Sugars, total",LCCS,0.0,g
45005547,291,"Fiber, total dietary",LCCD,0.0,g
45005547,301,"Calcium, Ca",LCCD,0.0,mg
45005547,303,"Iron, Fe",LCCD,0.0,mg
45005547,306,"Potassium, K",LCCD,0.0,mg
45005547,307,"Sodium, Na",LCCS,679.0,mg
45005547,318,"Vitamin A, IU",LCCD,2857.0,IU
45005547,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005547,601,Cholesterol,LCCS,214.0,mg
45005547,605,"Fatty acids, total trans",LCCS,0.0,g
45005547,606,"Fatty acids, total saturated",LCCS,50.0,g
45005547,645,"Fatty acids, total monounsaturated",LCCS,21.43,g
45005547,646,"Fatty acids, total polyunsaturated",LCCS,0.0,g
45005563,203,Protein,LCCS,33.33,g
45005563,204,Total lipid (fat),LCCS,33.33,g
45005563,205,"Carbohydrate, by difference",LCCD,0.0,g
45005563,208,Energy,LCCS,467.0,kcal
45005563,269,"Sugars, total",LCCS,0.0,g
45005563,291,"Fiber, total dietary",LCCD,0.0,g
45005563,301,"Calcium, Ca",LCCD,0.0,mg
45005563,303,"Iron, Fe",LCCD,0.0,mg
45005563,307,"Sodium, Na",LCCS,2000.0,mg
45005563,318,"Vitamin A, IU",LCCD,0.0,IU
45005563,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005563,601,Cholesterol,LCCS,133.0,mg
45005563,605,"Fatty acids, total trans",LCCS,0.0,g
45005563,606,"Fatty acids, total saturated",LCCS,13.33,g
45005639,203,Protein,LCCS,3.54,g
45005639,204,Total lipid (fat),LCCS,1.33,g
45005639,205,"Carbohydrate, by difference",LCCS,15.93,g
45005639,208,Energy,LCCS,88.0,kcal
45005639,269,"Sugars, total",LCCS,12.39,g
45005639,291,"Fiber, total dietary",LCCS,2.7,g
45005639,301,"Calcium, Ca",LCCD,133.0,mg
45005639,307,"Sodium, Na",LCCS,53.0,mg
45005639,324,Vitamin D,LCCD,35.0,IU
45005639,601,Cholesterol,LCCS,4.0,mg
45005639,606,"Fatty acids, total saturated",LCCS,0.88,g
45005656,203,Protein,LCCS,12.5,g
45005656,204,Total lipid (fat),LCCS,1.79,g
45005656,205,"Carbohydrate, by difference",LCCS,73.21,g
45005656,208,Energy,LCCS,357.0,kcal
45005656,269,"Sugars, total",LCCS,3.57,g
45005656,291,"Fiber, total dietary",LCCS,3.6,g
45005656,301,"Calcium, Ca",LCCD,0.0,mg
45005656,303,"Iron, Fe",LCCD,0.0,mg
45005656,306,"Potassium, K",LCCS,188.0,mg
45005656,307,"Sodium, Na",LCCD,0.0,mg
45005656,318,"Vitamin A, IU",LCCD,0.0,IU
45005656,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005656,404,Thiamin,LCCD,1.0,mg
45005656,405,Riboflavin,LCCD,0.455,mg
45005656,406,Niacin,LCCD,7.143,mg
45005656,601,Cholesterol,LCCD,0.0,mg
45005656,605,"Fatty acids, total trans",LCCS,0.0,g
45005656,606,"Fatty acids, total saturated",LCCD,0.0,g
45005656,645,"Fatty acids, total monounsaturated",LCCS,0.0,g
45005656,646,"Fatty acids, total polyunsaturated",LCCS,0.89,g
45005700,203,Protein,LCCS,0.0,g
45005700,204,Total lipid (fat),LCCD,0.0,g
45005700,205,"Carbohydrate, by difference",LCCS,29.41,g
45005700,208,Energy,LCCS,59.0,kcal
45005700,269,"Sugars, total",LCCS,0.0,g
45005700,291,"Fiber, total dietary",LCCS,17.6,g
45005700,307,"Sodium, Na",LCCD,0.0,mg
45005709,203,Protein,LCCS,0.0,g
45005709,204,Total lipid (fat),LCCD,0.0,g
45005709,205,"Carbohydrate, by difference",LCCS,17.7,g
45005709,208,Energy,LCCS,71.0,kcal
45005709,269,"Sugars, total",LCCS,16.81,g
45005709,291,"Fiber, total dietary",LCCS,1.8,g
45005709,301,"Calcium, Ca",LCCD,0.0,mg
45005709,303,"Iron, Fe",LCCD,0.0,mg
45005709,306,"Potassium, K",LCCS,53.0,mg
45005709,307,"Sodium, Na",LCCS,9.0,mg
45005709,318,"Vitamin A, IU",LCCD,0.0,IU
45005709,401,"Vitamin C, total ascorbic acid",LCCD,10.6,mg
45005709,601,Cholesterol,LCCD,0.0,mg
45005709,605,"Fatty acids, total trans",LCCS,0.0,g
45005709,606,"Fatty acids, total saturated",LCCD,0.0,g
45005709,645,"Fatty acids, total monounsaturated",LCCS,0.0,g
45005709,646,"Fatty acids, total polyunsaturated",LCCS,0.0,g
45005710,203,Protein,LCCS,0.0,g
45005710,204,Total lipid (fat),LCCD,0.0,g
45005710,205,"Carbohydrate, by difference",LCCS,10.62,g
45005710,208,Energy,LCCS,44.0,kcal
45005710,269,"Sugars, total",LCCS,7.08,g
45005710,291,"Fiber, total dietary",LCCS,1.8,g
45005710,301,"Calcium, Ca",LCCD,0.0,mg
45005710,303,"Iron, Fe",LCCD,0.0,mg
45005710,306,"Potassium, K",LCCS,62.0,mg
45005710,307,"Sodium, Na",LCCS,9.0,mg
45005710,318,"Vitamin A, IU",LCCD,0.0,IU
45005710,401,"Vitamin C, total ascorbic acid",LCCD,0.0,mg
45005710,601,Cholesterol,LCCD,0.0,mg
45005710,605,"Fatty acids, total trans",LCCS,0.0,g
45005710,606,"Fatty acids, total saturated",LCCD,0.0,g
45005710,645,"Fatty acids, total monounsaturated",LCCS,0.0,g
45005710,646,"Fatty acids, total polyunsaturated",LCCS,0.0,g
45005713,203,Protein,LCCS,0.0,g
45005713,204,Total lipid (fat),LCCD,0.0,g
45005713,205,"Carbohydrate, by difference",LCCS,17.7,g
45005713,208,Energy,LCCS,71.0,kcal
45005713,269,"Sugars, total",LCCS,16.81,g
45005713,291,"Fiber, total dietary",LCCS,1.8,g
45005713,301,"Calcium, Ca",LCCD,0.0,mg
45005713,303,"Iron, Fe",LCCD,0.0,mg
45005713,306,"Potassium, K",LCCS,53.0,mg
45005713,307,"Sodium, Na",LCCS,9.0,mg
45005713,318,"Vitamin A, IU",LCCD,0.0,IU
45005713,401,"Vitamin C, total ascorbic acid",LCCD,10.6,mg
45005713,601,Cholesterol,LCCD,0.0,mg
45005713,605,"Fatty acids, total trans",LCCS,0.0,g
45005713,606,"Fatty acids, total saturated",LCCD,0.0,g
45005713,645,"Fatty acids, total monounsaturated",LCCS,0.0,g
45005713,646,"Fatty acids, total polyunsaturated",LCCS,0.0,g
45005718,203,Protein,LCCS,40.0,g
45005718,204,Total lipid (fat),LCCD,0.0,g
45005718,205,"Carbohydrate, by difference",LCCD,0.0,g
45005718,208,Energy,LCCS,200.0,kcal
45005718,269,"Sugars, total",LCCS,0.0,g
45005718,291,"Fiber, total dietary",LCCD,0.0,g
45005718,301,"Calcium, Ca",LCCD,0.0,mg
45005718,303,"Iron, Fe",LCCD,0.0,mg
45005718,306,"Potassium, K",LCCD,0.0,mg
45005718,307,"Sodium, Na",LCCS,2400.0,mg
45005718,318,"Vitamin A, IU",LCCD,0.0,IU
